16:38:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:38:51 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:38:51 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:39:11 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:39:11 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:39:31 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:39:31 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:39:51 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:39:51 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:40:11 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:40:11 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:40:31 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:40:32 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:40:52 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:40:52 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
