14:52:10 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431195, 'timeout': 20}" and files "None"
14:52:30 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:52:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431195, 'timeout': 20}" and files "None"
14:52:50 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:52:50 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431195, 'timeout': 20}" and files "None"
14:53:08 | INFO | stop_polling: 433 | Stop polling...
14:53:08 | WARNING | start_polling: 329 | Goodbye!
14:53:11 | DEBUG | __init__: 623 | Using proactor: IocpProactor
14:53:11 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
14:53:11 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5435708975,"is_bot":true,"first_name":"popovtest","username":"popov_test_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
14:53:11 | INFO | _welcome: 362 | Bot: popovtest [@popov_test_bot]
14:53:11 | INFO | start_polling: 358 | Start polling.
14:53:11 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
14:53:11 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":0}}'"
14:53:11 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
14:53:18 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431195,\n"message":{"message_id":482,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"en"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657799598,"text":"/start","entities":[{"offset":0,"length":6,"type":"bot_command"}]}}]}'"
14:53:18 | DEBUG | start_polling: 395 | Received 1 updates.
14:53:18 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 965665251, 'text': 'привет аркаша,я бот который отправит тебеа  твоё же сообщение', 'reply_markup': '{"keyboard": [[{"text": "пожелание доброго утра"}], [{"text": "пожелание доброй ночи"}]]}'}" and files "None"
14:53:18 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431196, 'timeout': 20}" and files "None"
14:53:18 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":483,"from":{"id":5435708975,"is_bot":true,"first_name":"popovtest","username":"popov_test_bot"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657799598,"text":"\\u043f\\u0440\\u0438\\u0432\\u0435\\u0442 \\u0430\\u0440\\u043a\\u0430\\u0448\\u0430,\\u044f \\u0431\\u043e\\u0442 \\u043a\\u043e\\u0442\\u043e\\u0440\\u044b\\u0439 \\u043e\\u0442\\u043f\\u0440\\u0430\\u0432\\u0438\\u0442 \\u0442\\u0435\\u0431\\u0435\\u0430  \\u0442\\u0432\\u043e\\u0451 \\u0436\\u0435 \\u0441\\u043e\\u043e\\u0431\\u0449\\u0435\\u043d\\u0438\\u0435"}}'"
14:53:18 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 965665251, 'text': 'можешь узнать дату'}" and files "None"
14:53:18 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":484,"from":{"id":5435708975,"is_bot":true,"first_name":"popovtest","username":"popov_test_bot"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657799598,"text":"\\u043c\\u043e\\u0436\\u0435\\u0448\\u044c \\u0443\\u0437\\u043d\\u0430\\u0442\\u044c \\u0434\\u0430\\u0442\\u0443"}}'"
14:53:38 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:53:38 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431196, 'timeout': 20}" and files "None"
14:53:41 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431196,\n"message":{"message_id":485,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"en"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657799622,"text":"\\u043f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0439 \\u043d\\u043e\\u0447\\u0438"}}]}'"
14:53:41 | DEBUG | start_polling: 395 | Received 1 updates.
14:53:41 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431197, 'timeout': 20}" and files "None"
14:54:02 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:54:02 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431197, 'timeout': 20}" and files "None"
14:54:22 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:54:22 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431197, 'timeout': 20}" and files "None"
14:54:31 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431197,\n"message":{"message_id":486,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"en"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657799671,"text":"\\u043f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0433\\u043e \\u0443\\u0442\\u0440\\u0430"}}]}'"
14:54:31 | DEBUG | start_polling: 395 | Received 1 updates.
14:54:31 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431198, 'timeout': 20}" and files "None"
14:54:36 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431198,\n"message":{"message_id":487,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"en"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657799676,"text":"\\u043f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0439 \\u043d\\u043e\\u0447\\u0438"}}]}'"
14:54:36 | DEBUG | start_polling: 395 | Received 1 updates.
14:54:36 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431199, 'timeout': 20}" and files "None"
14:54:41 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431199,\n"message":{"message_id":488,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"en"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657799681,"text":"\\u043f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0433\\u043e \\u0443\\u0442\\u0440\\u0430"}}]}'"
14:54:41 | DEBUG | start_polling: 395 | Received 1 updates.
14:54:41 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431200, 'timeout': 20}" and files "None"
